Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_1_299,VSS,Metal1,150.2280,22.3030,0.000095
FILLER_1_292,VSS,Metal1,147.6060,22.2190,0.000095
FILLER_1_285,VSS,Metal1,144.2460,22.2190,0.000095
FILLER_1_278,VSS,Metal1,140.8860,22.2190,0.000095
FILLER_1_271,VSS,Metal1,137.5260,22.2190,0.000095
FILLER_1_264,VSS,Metal1,134.1660,22.2190,0.000095
FILLER_1_225,VSS,Metal1,114.2400,22.6800,0.000027
FILLER_1_218,VSS,Metal1,112.0860,22.2190,0.000026
FILLER_1_181,VSS,Metal1,92.8800,22.6800,0.000025
FILLER_1_153,VSS,Metal1,79.4400,22.6800,0.000026
FILLER_1_80,VSS,Metal1,44.4000,22.6800,0.000027
FILLER_1_39,VSS,Metal1,26.1660,22.2190,0.000002
FILLER_1_32,VSS,Metal1,22.8060,22.2190,0.000002
FILLER_1_25,VSS,Metal1,19.4460,22.2190,0.000002
FILLER_1_18,VSS,Metal1,16.0860,22.2190,0.000002
FILLER_1_11,VSS,Metal1,12.7260,22.2190,0.000002
FILLER_1_4,VSS,Metal1,9.3660,22.2190,0.000002
FILLER_0_303,VSS,Metal1,151.6800,15.1200,0.000019
FILLER_0_295,VSS,Metal1,148.3080,15.4960,0.000019
FILLER_0_288,VSS,Metal1,145.6860,15.5800,0.000018
FILLER_0_281,VSS,Metal1,142.3260,15.5800,0.000018
FILLER_0_274,VSS,Metal1,138.9660,15.5800,0.000017
FILLER_0_267,VSS,Metal1,135.6060,15.5800,0.000017
FILLER_0_256,VSS,Metal1,130.3260,15.5800,0.000015
FILLER_0_249,VSS,Metal1,126.9660,15.5800,0.000014
FILLER_0_242,VSS,Metal1,123.6060,15.5800,0.000013
FILLER_0_238,VSS,Metal1,120.2400,15.1200,0.000011
FILLER_0_231,VSS,Metal1,118.3260,15.5800,0.000011
FILLER_0_225,VSS,Metal1,114.2400,15.1200,0.000008
FILLER_0_221,VSS,Metal1,112.7880,15.4960,0.000007
