 time            v(vo)          
 5.02129659e-06  8.28864381e-01 
 5.02846758e-06  8.33627225e-01 
 5.03744352e-06  8.34479280e-01 
 5.04913021e-06  8.34957988e-01 
 5.07159527e-06  8.35940317e-01 
 5.11652538e-06  8.37913777e-01 
 5.20638560e-06  8.41856463e-01 
 5.38610604e-06  8.49700727e-01 
 5.50001000e-06  8.54647313e-01 
 5.50001100e-06  8.54647155e-01 
 5.50001300e-06  8.54646699e-01 
 5.50001700e-06  8.54645363e-01 
 5.50002000e-06  8.54644291e-01 
 5.50002080e-06  8.54644248e-01 
 5.50002240e-06  8.54644340e-01 
 5.50002560e-06  8.54645233e-01 
 5.50003200e-06  8.54647950e-01 
 5.50004480e-06  8.54652584e-01 
 5.50007040e-06  8.54657462e-01 
 5.50011737e-06  8.54661353e-01 
 5.50021132e-06  8.54633635e-01 
 5.50035503e-06  8.54446205e-01 
 5.50045854e-06  8.54298606e-01 
 5.50056919e-06  8.54274288e-01 
 5.50074114e-06  8.54287788e-01 
 5.50090823e-06  8.54280126e-01 
 5.50119212e-06  8.54287094e-01 
 5.50153290e-06  8.54282180e-01 
 5.50201955e-06  8.54286730e-01 
 5.50280189e-06  8.54282680e-01 
 5.50404742e-06  8.54286493e-01 
 5.50631485e-06  8.54282808e-01 
 5.51017055e-06  8.54286418e-01 
 5.51687576e-06  8.54282848e-01 
 5.52867595e-06  8.54286392e-01 
 5.55227632e-06  8.54282858e-01 
 5.59947706e-06  8.54286381e-01 
 5.69387853e-06  8.54282853e-01 
 5.88268148e-06  8.54286363e-01 
 6.00000000e-06  8.54282836e-01 
 6.00000100e-06  8.54283236e-01 
 6.00000300e-06  8.54283932e-01 
 6.00000700e-06  8.54284042e-01 
 6.00001000e-06  8.54282941e-01 
 6.00001051e-06  8.54282627e-01 
 6.00001153e-06  8.54281948e-01 
 6.00001357e-06  8.54280495e-01 
 6.00001765e-06  8.54278049e-01 
 6.00002581e-06  8.54275809e-01 
 6.00004212e-06  8.54277085e-01 
 6.00006998e-06  8.54283809e-01 
 6.00009976e-06  8.54294421e-01 
 6.00013674e-06  8.54308343e-01 
 6.00019439e-06  8.54325348e-01 
 6.00026169e-06  8.54341062e-01 
 6.00039630e-06  8.54366027e-01 
 6.00059410e-06  8.54392511e-01 
 6.00087557e-06  8.54406016e-01 
 6.00135627e-06  8.54416357e-01 
 6.00224039e-06  8.54432077e-01 
 6.00400863e-06  8.54468747e-01 
 6.00754510e-06  8.54532484e-01 
 6.01393577e-06  8.59806859e-01 
 6.02128841e-06  8.70610962e-01 
 6.02846677e-06  8.76277957e-01 
 6.03746729e-06  8.77687800e-01 
 6.04915796e-06  8.78201030e-01 
 6.07118498e-06  8.79126459e-01 
 6.11523900e-06  8.80987521e-01 
 6.20334705e-06  8.84703264e-01 
 6.37956314e-06  8.92098648e-01 
 6.50001000e-06  8.97118425e-01 
 6.50001100e-06  8.97118264e-01 
 6.50001300e-06  8.97117800e-01 
 6.50001700e-06  8.97116446e-01 
 6.50002000e-06  8.97115363e-01 
 6.50002080e-06  8.97115319e-01 
 6.50002240e-06  8.97115413e-01 
 6.50002560e-06  8.97116318e-01 
 6.50003200e-06  8.97119056e-01 
 6.50004480e-06  8.97123676e-01 
 6.50007040e-06  8.97128479e-01 
 6.50011737e-06  8.97132243e-01 
 6.50021131e-06  8.97103509e-01 
 6.50035512e-06  8.96911615e-01 
 6.50045869e-06  8.96762251e-01 
 6.50056940e-06  8.96738409e-01 
 6.50074077e-06  8.96751753e-01 
 6.50090604e-06  8.96744162e-01 
 6.50119055e-06  8.96751079e-01 
 6.50152929e-06  8.96746194e-01 
 6.50201591e-06  8.96750725e-01 
 6.50279895e-06  8.96746688e-01 
 6.50404383e-06  8.96750492e-01 
 6.50631767e-06  8.96746814e-01 
 6.51019590e-06  8.96750418e-01 
 6.51694778e-06  8.96746853e-01 
 6.52887011e-06  8.96750392e-01 
 6.55271477e-06  8.96746862e-01 
 6.60040409e-06  8.96750381e-01 
 6.69578272e-06  8.96746855e-01 
 6.88653999e-06  8.96750359e-01 
 7.00000000e-06  8.96746835e-01 
 7.00000100e-06  8.96747235e-01 
 7.00000300e-06  8.96747932e-01 
 7.00000700e-06  8.96748045e-01 
 7.00001000e-06  8.96746947e-01 
 7.00001051e-06  8.96746634e-01 
 7.00001153e-06  8.96745957e-01 
 7.00001357e-06  8.96744508e-01 
 7.00001765e-06  8.96742069e-01 
 7.00002581e-06  8.96739834e-01 
